?,?
Acomodador,acomodador
Administratiu,administrativo
Advocat,abogado
Agent,agente
Agent Assegurançes,agente de seguros
Agent comerç,agente de comercio
Agent de policia,agente de policía
Agricultor,agricultor
Ajudant cuina,ayudante de cocina
Ajustador,ajustador
Alfarero,alfarero
Almacenista,almacenista
Ama de casa,ama de casa
Aparellador,aparejador
Arboricultor,arboricultor
Arquitecte,arquitecto
Artesà,artesano
Artista,artista
Auxiliar Farmacia,auxiliar de farmacia
Banquer,banquero
Barber,barbero
Bastoner,bastonero
Blanquer,blanquero
Borrer,borrer
Boter,botero
Bracer,bracero
Bronzista,broncista
Cadirer,cadirer
Calafat,calafateador
Calderer,calderero
Cambrer,camarero
Camiser,camisero
Capataz Fumigador,capataz fumigador
Capita d'Aviació,capitań de aviación
Carboner,carbonero
Cardador,cardador
Carnicer,carnicero
Carnisser,carnicero
Carrabiner,carabinero
Carregador,cargador
Carreter,carretero
Carter,cartero
Castrador,castrador
Catedràtic de Medicina,Catedrático de Medicina
Ceramista,ceramista
Cerámista,ceramista
Cisteller,cestero
Cobrador,cobrador
Comerç,comerciante
Comerciant,comerciante
Comisario de Policia,comisario de policía
Comissionista,comisionista
Comptable,contable
Conductor,conductor
Conductor Tranvia,conductor de tranvía
Confección Botons,Confección Botons
Confección Sombreros,Confección Sombreros
Confiter,confitero
Construcció,construcción
Contable,contable
Contramestre,contramaestre
Corbador,curvador
Corredor,corredor
Corredor de Fincas,corredor de fincas
Cristaller,cristalero
Cuiner,cocinero
Delineant,delineante
Dependent,dependiente
Dibuixant,dibujante
Draperr,drapero
Ebenista,ebanista
Electricista,electricista
Embalador,embalador
Empedrador,empedrador
Empleado Hospital,empleado de hospital
Empleat,empleado
Empleat de Banca,empleado de banca
Empleat municipal,empleado municipal
Empresari,empresario
Enquadernador,encuadernador
Enterrador,enterrador
Escrivent,escribiente
Escultor,escultor
Espardenyer,alpargatero
Esporgador,podador
Esquilador,esquilador
Estanquero,estanquero
Estanyador,estañador
Estibador,estibador
Estofer,estofer
Estudiant,estudiante
Eventual,eventual
Ex-agent,ex-agente
Fabricante Cestas,fabricante de cestas
Fabricante de barricas,fabricante de barricas
Fabricante de Sillas,fabricante de sillas
Fabricante Envases,fabricante de envases
Fabril,fabril
Fab. taulers,fabricante de tableros
Farolero,farolero
Ferrer,herrero
Ferroviari,ferroviario
Filador,hilandero
Fogoner,fogonero
Fogonero,fogonero
Fonedor,fundidor
Forjador,forjador
Forner,panadero
Fotograf,fotógrafo
Fruiter,frutero
Fumigador,fumigador
Funcionari,funcionario
Funcionario Correos,funcionario de Correos
Funcionario de Prisión,funcionario de prisiones
Fundidor,fundidor
Fuster,fustero
Galeter,galeter
G. assalt,guardia de asalto
Gomer,gomero
Granger,granjero
Guarda seguretat,Guardia de Seguridad
Guardia,guardia
Guardia Civil,Guardia Civil
Guardia Civil-Comandante,Comandante de la Guardia Civil
Guardia civil-Sargent,Sargento de la Guardia civil
Guardia civil-Teniente,Teniente de la Guardia civil
Guardia de Seguridad,Guardia de Seguridad
Guardia Municipal,guardia municipal
Guardia Rural,guardia rural
Guarnicioner,guarnicionero
Guitarrista,guitarrista
Hornerocerámico,hornerocerámico
Hostaler,hostelero
Impressor,impresor
Industrial,industrial
Industria Textil,industria textil
Jardiner,jardinero
Joguiner,juguetero
Joier,joyero
Jornaler,jornalero
Jubilat,jubilado
Jutge,juez
Lacador,lacador
Laminador,laminador
Litograf,litógrafo
Llander,llander
Llanterner,fontanero
Llaurador,labrador
Lleter,lechero
Llibreter,librero
Manyà,cerrajero
Maquinista,maquinista
Marbrista,marmolista
Mariner,marinero
Marinero de Guerra,marinero de guerra
Marmolista,marmolista
Marroquiner,marroquinero
Massatgista,masajista
Mecànic,mecánico
Mecanograf,mecanógrafo
Mercantil,mercantil
Mestre,maestro
Mestrenacional,maestro nacional
Mestre nacional,maestro nacional
Mestre Nacional,maestro nacional
Metal·lúrgic,metalúrgico
Metge,médico
Militar,militar
Militar-Comandante,comandante militar
Militar Retirado,militar retirado
Militar-Sargento,sargento militar
Militar-Teniente-Coronel,teniente-coronel militar
Miner,minero
Mister,mister
Moliner,molinero
Mosso càrrega,mozo de carga
Mosso magatzen,mozo de almacén
Motorista,motorista
Muntador,montador
Music,músico
Músic,músico
Obras Publicas,obras públicas
Obrer,obrero
Obrera,obrera
Obrer Textil,obrero textil
Obrervila,obrero
Obrer vila,obrero
Of. correus,oficinista de Correos
Oficinista,oficinista
Operador,operador
Operador mecànic,operador mecánico
Operari,operario
Operari cantera,operario de cantera
Operari cine,operario de cine
Operarif undició,operario de fundición
Operario Cristal,operario del cristal
Operario de Cal,operario de cal
Operari serreria,operario de serrería
Paleta,paleta
Palmerer,palmerero
Paperer,papelero
Pastisser,pastelero
Pastor,pastor
Pavimentador,pavimentador
Pelleter,peletero
Pellisser,pellisser
Peó,peón
Peó caminer,peón caminero
Peó càrrega,peón de carga
Peó d'obra,peón de obra
Peomunicipal,peón municipal
Peridodista,periodista
Perit,perito
Périto Mecánico,perito mecánico
Perruquer,peluquero
Pescador,pescador
Picapedrer,cantero
Pintor,pintor
Pintor de coches,pintor de coches
Planchista,planchista
Pleiter,pleitos
Podador,podador
Portuari,portuario
Pouater,pocero
Practicant,practicante
Procurador,procurador
Professió,profesión
Professor,profesor
Professor de Comerç,profesor de comercio
Professor dibuix,profesor de dibujo
Propietari,propietario
Pulidor,pulidor
Rajoler,rajoler
Rasclador,rasclador
Recadero,recadero
Recaptador,recaudador
Rellotger,relojero
Repartidor,repartidor
Representant,representante
Revenedor,revendedor
Rifador,rifador
Sabater,zapatero
Saliner,salinero
Sargento Infantería,sargento de infantería
Sastre,sastre
Sazonador,sazonador
Secret. Ajunt.,secretario de ayuntamiento
Secretari,secretario
Secretari Jutjat,secretario de juzgado
Secretari sala,secretario de sala
Serrador,aserrador
Sillero,sillero
Soguer,soguero
Soldador,soldador
Talabarder,talabartero
Talador,talador
Tallador,cortador
Tallista,tallista
Tapisser,tapicero
Taquimecanograf,taquimecanógrafo
Tartaner,tartán
Taulelleter,taulelleter
Taverner,tavernero
Teixidor,tejedor
Teixidor Mecànic,tejedor mecánico
Telefonista,telefonista
Telegrafista,telegrafista
Terrisser,alfarero
Teuler,teuler
Tèxtil,textil
Tintorer,tintorero
Tipògraf,tipógrafo
Tonelero,tonelero
Topògraf,topógrafo
Torner,tornero
Tramviari,tranviario
Transportista,transportista
Trapero,trapero
Tratante,tratante
Turronero,turronero
Vaquer,vaquero
Vendapremsa,vendedor de prensa
Vendedor prensa,vendedor de prensa
Venedor,vendedor
Venedor ambulant,vendedor ambulante
Venedor premsa,vendedor de prensa
Verduler,verdulero
Viatjant,viajante
Vigilante Municipal,vigilante municipal
Vigilante Nocturno,vigilante nocturno
Vulcanitzador,vulcanizador
Vulcanitzaor,vulcanizador
Xapista,chapista
Xocolater,chocolatero
Xofer,chófer
Yesero,yesero
